,,,,,,
,,,,,,
,,,,,,
State,S.No,College,City,Fees Per Year,,
Bihar,1,Katihar Medical College,Katihar,"9,35,000",,
Bihar,2,Mata Gujri Memorial Medical College,Kishanganj,"9,63,000",,
Bihar,3,Narayan Medical College & Hospital,Sasaram,"10,38,000",,
Bihar,4,Lord Budha Koshi Medical College & Hospital,Saharsa,"12,00,000",,
Bihar,5,Shri Narayan Medical Institute & Hospital,Saharsa,"13,00,000",,
Bihar,6,RDJM Medical College & Hospital,Muzaffarpur,"13,00,000",,
Bihar,7,Madhubani Medical College,Madhubani,"13,50,000",,
Bihar,8,Netaji Subhas Medical College & Hospital,Bihta,"16,25,000",,
Kerala,1,Jubilee Mission Med. Coll & Research Institute,Thrisur,"7,77,180",,
Kerala,2,Amala Inst. Of Med. Sc,Thrisur,"7,77,180",,
Kerala,3,Malankara Orthodox Syrian Church Medi. Coll,Kottayam,"7,77,180",,
Kerala,4,Pushpagiri IMS,Thiruvalla,"7,77,180",,
Kerala,5,Believers Church Med Coll & Hospital,Thiruvalla,"7,77,180",,
Kerala,6,MES Med Coll,,Malapuram,"7,77,180",
Kerala,7,Sree Gokulam MC,Venjaramoodu,"7,34,853",,
Kerala,8,SUT Accademy OF MS,Thiruvananthapuram,"7,39,528",,
Kerala,9,Dr. Somervell Memorial CSI MC,Karakoram,"7,77,180",,
Kerala,10,P K Das Inst. of Med Sc,Ottapalam,"7,05,806",,
Kerala,11,Travancore Med Coll,Kollam,"7,77,180",,
Kerala,12,KMCT Med Coll,Kozikkode,"7,68,881",,
Kerala,13,Malabar Med Coll,Kozikkode,"7,77,180",,
Kerala,14,Dr. Moopen's Med Coll,Wayanad,"8,44,551",,
Kerala,15,Azeezia IMS,Meyyannor,"7,77,180",,
Kerala,16,Sree Narayana Init. of Med.Sc,Ernakulam,"8,09,488",,
Kerala,17,Mount Zion Med Coll,Pathanamthitta,"7,71,371",,
Kerala,18,Al Azhar Med Coll,Thodupuzha,"7,77,180",,
Kerala,19,Karuna Med Coll,Palakkad,"7,50,266",,
Andhra Pradesh,1,Apollo Institute of Medical Sciences,Chittor,"12,00,000",,
Andhra Pradesh,2,Alluri Seetharama Raju Academy of Medical Sciences,West Godawari,"12,00,000",,
Andhra Pradesh,3,Fathima Institute of Medical Sciences,Kadapa,"12,00,000",,
Andhra Pradesh,4,Great Eastern Medical School,Ragolu,"12,00,000",,
Andhra Pradesh,5,GSL Medical College,Rajahmundry,"12,00,000",,
Andhra Pradesh,6,G.V.P.H & Medical Technology,Visakhapatnam,"12,00,000",,
Andhra Pradesh,7,Katuri Medical College,Guntur,"12,00,000",,
Andhra Pradesh,8,Konaseema Institute Of Med Science,Amalapuram,"12,00,000",,
Andhra Pradesh,9,Maharaja Institute Of Med Science,Nellimarla,"12,00,000",,
Andhra Pradesh,10,Narayana Medical College,Nellore,"12,00,000",,
Andhra Pradesh,11,Nirma Institute of Medical Science,Vijaywada,"12,00,000",,
Andhra Pradesh,12,NRI Medical College,Guntur,"12,00,000",,
Andhra Pradesh,13,NRI Institute Of Med Science,Visakhapatnam,"12,00,000",,
Andhra Pradesh,14,PES Institute Of Med Science,Kuppam,"12,00,000",,
Andhra Pradesh,15,Dr. P Siddardha Institute Of Med Science,Vijaywada,"12,00,000",,
Andhra Pradesh,16,Santhiram Medical College,Kurnool,"12,00,000",,
Andhra Pradesh,17,VMC Medical College,Kurnool,"12,00,000",,
Punjab,1,Christian Medical College,Ludhiana,"6,60,000",,
Punjab,2,Dayanand Medical College & Hospital,Ludhiana,"10,41,000",,
Punjab,3,Gian Sagar Medical College & Hospital,Patiala,"10,41,000",,
Punjab,4,Punjab Institute of Medical Sciences,Jalandhar,"10,41,000",,
Punjab,5,Adesh Institute Of Medical Science & Research,Bathinda,"10,41,000",,
Punjab,6,Sri Guru Ram Das Institute of Medical Sciences & Research,Amritsar,"10,41,000",,
Telangana,1,Apollo Institute of Medical Sciences and Research,Hyderabad,"13,00,000",,
Telangana,2,Bhaskar Medical College,Yenkapally,"11,55,000",,
Telangana,3,Malla Reddy Institute of Medical Sciences,Hyderabad,"13,00,000",,
Telangana,4,Mamata Academy of Medical Sciences,Bachupally,"12,00,000",,
Telangana,5,Kamineni Institute of Medical Sciences,Narketpally,"13,00,000",,
Telangana,6,Mediciti Institute of Medical Sciences,Ghanpur,"12,00,000",,
Telangana,7,Mamata Medical College,Khammam,"12,00,000",,
Telangana,8,Chalmeda Anand Rao Institute of Medical Sciences,Bommakal,"13,00,000",,
Telangana,9,MNR Medical College & Hospital,Sangareddy,"13,00,000",,
Telangana,10,Kamineni Academy of Medical Sciences & Research,Hyderabad,"13,00,000",,
Telangana,11,Prathima Institute of Medical Sciences,Karimnagar,"12,00,000",,
Telangana,12,Malareddy Medical College For Women,Hyderabad,"12,00,000",,
Telangana,13,S V S Medical College,Mahboobnagar,"12,50,000",,
Telangana,14,Dr. Patnam Mahender Reddy Institute Of Medical,Rangareddy,"11,55,000",,
Telangana,15,R.V.M. Institute of Medical Sciences & Research,Siddipet,"12,00,000",,
Telangana,16,Surabhi Institute of Medical Sciences,Siddipet,"11,55,000",,
Telangana,17,Mahavir Institute of Medical Sciences,Vikarabad,"11,55,000",,
Telangana,18,Maheshwara Medical College,Chitkul,"11,55,000",,
Telangana,19,TRR Institute Of Medical Sciences,Patancheru,"11,55,000",,
Telangana,20,Prathima Relief Institute Of Medical Sciences,Warangal,"11,55,000",,
Telangana,21,Father Colombo Institute Of Medical Sciences,Warangal,"11,55,000",,
Telangana,22,Arundhati Institute Of Medical Sciences,Medchal,"11,55,000",,
