S.no,College,State,Fees,ESTD
5,Shri Atal Bihari Vajpayee, Bengaluru,Karnataka,70470,2019
6,Vijayanagar IMS, Bellary,Karnataka,65160,1961
7,Belgaum IMS, Belagavi,Karnataka,65780,2006
8,ESI-MC & PGIMS & R, Bengaluru,Karnataka,100000,2012
9,Hassan IMS, Hassan,Karnataka,70500,2006
10,Shimoga IMS, Shimoga,Karnataka,80400,2007
11,ESIC MC, Gulbarga,Karnataka,69450,2013
12,Gulbarga IMS, Gulbarga,Karnataka,69450,2015
13,Bidar Inst. of Med. Science, Bidar,Karnataka,69450,2007
14,Raichur IMS, Raichur,Karnataka,68550,2007
15,Gadag IMS, Gadag,Karnataka,73350,2015
16,Kodagu IMS, Kodagu,Karnataka,77400,2016
17,Koppal IMS, Koppal,Karnataka,75650,2015
18,Karwar IMS, Karwar,Karnataka,50000,2016
19,C. IMS, Chamarajanagar,Karnataka,77000,2016
20,Chikkaballapura IMS, Chikkaballapur,Karnataka,73370,2021
21,Chikkamagaluru IMS, Chikkamagaluru,Karnataka,74470,2021
22,Yadgiri IMS, Yadgiri,Karnataka,74100,2022
23,Haveri IMS, Haveri,Karnataka,74100,2022
24,Chitradurga Medical College,Karnataka,107740,2023
1,"Govt. MC, Kozhikode",Kerala,30200,1957
2,"Govt. MC, Thiruvananthapuram",Kerala,31570,1951
3,"Govt. MC, Kottayam",Kerala,31570,1960
4,"Govt. MC, Thrissur",Kerala,31570,1981
5,"T.D. MC, Alappuzha",Kerala,31570,1963
6,"Govt. MC, Kannur",Kerala,31570,1995
7,"Govt. MC, Ernakulam",Kerala,31570,2000
8,"Government. MC, ESIC, Kollam",Kerala,27580,2017
9,"Govt. MC, Manjeri",Kerala,28950,2013
10,"Govt. MC, Palakkad",Kerala,28950,2014
11,"Government, MC, Idukki",Kerala,31570,2022
12,"Government Medical College, Konni",Kerala,31570,2022
1,AIIMS Bhopal,Madhya Pradesh,117850,2012
2,"MGM MC, INDORE",Madhya Pradesh,118000,1948
3,"Gandhi MC, Bhopal",Madhya Pradesh,115000,1955
4,"Netaji SCB, Jabalpur",Madhya Pradesh,114000,1955
5,"G.R. MC, Gwalior",Madhya Pradesh,121500,1946
6,"S.S. MC, Rewa",Madhya Pradesh,121985,1963
7,"Bundelkhand MC, Sagar",Madhya Pradesh,114000,2009
8,"Govt MC, Ratlam",Madhya Pradesh,116350,2018
9,"Atal Bihari V. GMC, Vidisha",Madhya Pradesh,100000,2018
10,"Govt MC, Khandwa",Madhya Pradesh,100000,2018
11,"Government MC, Datia",Madhya Pradesh,126000,2018
12,"Chhindwara IMS, Chhindwara",Madhya Pradesh,114000,2019
13,"Govt. MC, Shivpuri",Madhya Pradesh,142000,2019
14,"Govt. MC, Shahdol",Madhya Pradesh,122000,2019
15,"Government Medical College, Satna",Madhya Pradesh,121985,2023
1,"AIIMS, Bhubaneshwar",Odisha,5856,2012
2,"S.C.B. MC, Cuttack",Odisha,38050,1944
3,"MKCG, Brahmapur",Odisha,38291,1962
4,"V.S.S. MC, Burla",Odisha,37950,1959
5,"Government of MC & H, Balasore",Odisha,38386,2018
6,"Pt. Raghunath Murmu, Baripada",Odisha,37950,2017
7,"Bhima Bhoi MCH, Balangir",Odisha,38256,2018
8,"Saheed Laxman Nayak MCH, Koraput",Odisha,38256,2017
9,"Sri Jagannath MC & Hospital, Puri",Odisha,38040,2021
10,"Government MC, Keonjhar",Odisha,37950,2022
11,"Government MC, Sundargarh",Odisha,38256,2022
12,"Saheed Rendo Vajhi, Bhawanipatna",Odisha,38256,2023
1,"AIIMS, Nagpur",Maharashtra,5826,2018
2,"Seth G.S. MC, Mumbai",Maharashtra,134600,1925
3,"Grant Med. Coll. & Sir J.J. Hosp, Mumbai",Maharashtra,139700,1845
4,"Byramjee Jeejeebhoy MC, Pune",Maharashtra,139800,1964
5,"Lokmanya Tilak Mun, Mumbai",Maharashtra,138100,1964
6,"Topiwala National MC, Mumbai",Maharashtra,138100,1964
7,"Dr. R. N. Cooper, Juhu, Mumbai",Maharashtra,112800,2015
8,"Rajiv Gandhi MC, Thane",Maharashtra,125800,1992
9,"Govt. MC, Nagpur",Maharashtra,130700,1947
10,"Govt. MC, Aurangabad",Maharashtra,139310,1956
11,"Indira Gandhi GMC, Nagpur",Maharashtra,141950,1968
12,"Dr. Vaishampayan, Sholapur",Maharashtra,138700,1963
13,"Government MC, Miraj",Maharashtra,138200,1962
14,"Rajarshree CSM GMC, Kolhapur",Maharashtra,138200,1962
15,"Govt. MC, Baramati",Maharashtra,138700,2019
16,"MGIMS, Sevagram Wardha",Maharashtra,441960,1969
17,"Dr. S. C. Govt MC, Nanded",Maharashtra,130730,1988
18,"Government MC, Akola",Maharashtra,143500,2002
19,"Shri Bhausaheb Hire GMC, Dhule",Maharashtra,143300,1988
20,"Shri Vasant Rao Naik, Yavatmal",Maharashtra,143200,1989
21,"Government MC, Latur",Maharashtra,125700,2002
22,"Government MC & H, Jalgaon",Maharashtra,130700,2018
23,"Swami Ramanand Tirth Rural GMC, Beed",Maharashtra,144950,1974
24,"Govt. MC & Hospital, Chandrapur",Maharashtra,127900,2015
25,"GMC, Gondia",Maharashtra,144300,2016
26,"GMC Nandurbar",Maharashtra,130700,2020
27,"GMC & Hosp, Alibag",Maharashtra,138060,2021
28,"GMC & Gen Hosp., Satara",Maharashtra,139700,2021
29,"Government MC, Osmanabad",Maharashtra,142750,2022
30,"GMC & District Gen. Hos, Ratnagiri",Maharashtra,139700,2023
31,"GMC, Parbhani",Maharashtra,143500,2023
1,"AIIMS, New Delhi",New Delhi,1628,1956
2,"Maulana Azad MC, New Delhi",New Delhi,2445,1958
3,"VMMC & Safdarjung Hospital, New Delhi",New Delhi,7045,2002
4,"Lady Hardinge MC, New Delhi",New Delhi,1355,1916
5,"ABVIMS & Dr. RML, New Delhi",New Delhi,36000,2019
6,"UCMS, New Delhi",New Delhi,7045,1971
7,"Dr. B.S.A. MC, Delhi",New Delhi,111000,2016
8,"N.D.M.C. MC, Delhi",New Delhi,102000,2013
1,"PT. B.D. Sharma PGIMS, Rohtak",Haryana,80000,1960
2,"ESIC MC, Faridabad",Haryana,100000,2015
3,"BPS Govt. Med. College, Sonepat",Haryana,80000,2012
4,Maharaja Agrasen,Haryana,180000,2002
5,"SHKM GMC, Nalhar, Mewat",Haryana,80000,2013
6,"Kalpana Chawla Govt. MC, Karnal",Haryana,80000,2017
7,"Shri ABV GMC, Faridabad",Haryana,80000,2022
1,AIIMS, Madurai,Tamil Nadu,18073,2022
2,Madras MC, Chennai,Tamil Nadu,19215,1835
3,Stanley MC, Chennai,Tamil Nadu,15473,1838
4,Coimbatore MC, Coimbatore,Tamil Nadu,18073,1966
5,Govt. Kilpauk MC, Chennai,Tamil Nadu,15473,1960
6,Madurai MC, Madurai,Tamil Nadu,18073,1954
7,Thanjavur MC, Thanjaur,Tamil Nadu,18073,1959
8,Chengalpattu MC, Chengalpattu,Tamil Nadu,19673,1965
9,Tirunelveli MC, Tirunelveli,Tamil Nadu,18453,1965
10,Govt. Mohan Kumaramangalam,Tamil Nadu,18073,1986
11,IRT Perundurai MC, Perundurai,Tamil Nadu,16233,1992
12,Rajah Muthai MC,Tamil Nadu,18110,1985
13,K.A.P. Vishwanatham, Tiruchirapa,Tamil Nadu,19460,1998
14,Government MC, Omandurar,Tamil Nadu,13610,2015
15,Thiruvannamalai MC,Tamil Nadu,18073,2013
16,Govt Vellore MC, Vellore,Tamil Nadu,15473,2005
17,ESIC MC & PGIMSR, Chennai,Tamil Nadu,100000,2013
18,Govt. Dharmapuri Medical College,Tamil Nadu,16660,2008
19,Theni Govt MC, Theni,Tamil Nadu,18073,2006
20,Govt MC ESI & Hosp. , Coimbatore,Tamil Nadu,18073,1966
21,GVMC, Villupuram,Tamil Nadu,18073,2010
22,Thoothukudi MC, Thoothukudi,Tamil Nadu,13610,2000
23,Kanyakumari GMC, Asaripallam,Tamil Nadu,13610,2003
24,GTMC, Thiruvarur,Tamil Nadu,15023,2010
25,Govt. Sivagangai MC, Sivagangai,Tamil Nadu,13610,2012
26,Govt. Pudukkottai MC Hosp.,Tamil Nadu,18073,2017
27,Govt. MC Karur,Tamil Nadu,18073,2019
28,Government MC, Ariyalur,Tamil Nadu,19863,2021
29,Government MC, Dindigul,Tamil Nadu,13610,2021
30,Government MC, Kallakurichi,Tamil Nadu,15033,2021
31,Government MC, Krishnagiri,Tamil Nadu,15033,2021
32,Government MC, Nagapattinam,Tamil Nadu,15350,2021
33,Government MC, Namakkal,Tamil Nadu,18083,2021
34,Government MC, Nilgiris,Tamil Nadu,15403,2021
35,Government MC, Ramanathapuram,Tamil Nadu,18083,2021
36,Government MC, Thiruvallur,Tamil Nadu,15350,2021
37,Government MC, Ariyalur,Tamil Nadu,15033,2021
38,Government MC, Ariyalur,Tamil Nadu,18073,2021
1,AIIMS, Madurai,Tamil Nadu,18073,2022
2,Madras MC, Chennai,Tamil Nadu,19215,1835
3,Stanley MC, Chennai,Tamil Nadu,15473,1838
